point_id,patch_label,patch_source,center_sigma,center_rho,center_beta,center_nucleus,sigma,rho,beta
P0288,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.501650000000001,99.0,2.475
P0289,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.501650000000001,99.0,2.5035499999999997
P0290,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.501650000000001,99.0,2.5321
P0291,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.501650000000001,99.25,2.4179000000000004
P0292,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.501650000000001,99.25,2.4464500000000005
P0293,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.501650000000001,99.25,2.475
P0294,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.501650000000001,99.25,2.5035499999999997
P0295,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.501650000000001,99.25,2.5321
P0296,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.501650000000001,99.5,2.4179000000000004
P0297,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.501650000000001,99.5,2.4464500000000005
P0298,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.501650000000001,99.5,2.475
P0299,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.501650000000001,99.5,2.5035499999999997
P0300,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.501650000000001,99.5,2.5321
P0301,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.55,98.5,2.4179000000000004
P0302,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.55,98.5,2.4464500000000005
P0303,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.55,98.5,2.475
P0304,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.55,98.5,2.5035499999999997
P0305,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.55,98.5,2.5321
P0306,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.55,98.75,2.4179000000000004
P0307,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.55,98.75,2.4464500000000005
P0308,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.55,98.75,2.475
P0309,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.55,98.75,2.5035499999999997
P0310,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.55,98.75,2.5321
P0311,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.55,99.0,2.4179000000000004
P0312,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.55,99.0,2.4464500000000005
P0313,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.55,99.0,2.475
P0314,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.55,99.0,2.5035499999999997
P0315,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.55,99.0,2.5321
P0316,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.55,99.25,2.4179000000000004
P0317,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.55,99.25,2.4464500000000005
P0318,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.55,99.25,2.475
P0319,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.55,99.25,2.5035499999999997
P0320,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.55,99.25,2.5321
P0321,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.55,99.5,2.4179000000000004
P0322,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.55,99.5,2.4464500000000005
P0323,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.55,99.5,2.475
P0324,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.55,99.5,2.5035499999999997
P0325,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.55,99.5,2.5321
P0326,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.59835,98.5,2.4179000000000004
P0327,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.59835,98.5,2.4464500000000005
P0328,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.59835,98.5,2.475
P0329,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.59835,98.5,2.5035499999999997
P0330,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.59835,98.5,2.5321
P0331,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.59835,98.75,2.4179000000000004
P0332,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.59835,98.75,2.4464500000000005
P0333,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.59835,98.75,2.475
P0334,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.59835,98.75,2.5035499999999997
P0335,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.59835,98.75,2.5321
P0336,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.59835,99.0,2.4179000000000004
P0337,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.59835,99.0,2.4464500000000005
P0338,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.59835,99.0,2.475
P0339,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.59835,99.0,2.5035499999999997
P0340,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.59835,99.0,2.5321
P0341,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.59835,99.25,2.4179000000000004
P0342,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.59835,99.25,2.4464500000000005
P0343,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.59835,99.25,2.475
P0344,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.59835,99.25,2.5035499999999997
P0345,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.59835,99.25,2.5321
P0346,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.59835,99.5,2.4179000000000004
P0347,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.59835,99.5,2.4464500000000005
P0348,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.59835,99.5,2.475
P0349,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.59835,99.5,2.5035499999999997
P0350,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.59835,99.5,2.5321
P0351,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.6467,98.5,2.4179000000000004
P0352,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.6467,98.5,2.4464500000000005
P0353,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.6467,98.5,2.475
P0354,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.6467,98.5,2.5035499999999997
